data_id,value,value_log,value_category,value_log_scaled,precision_scaled,characteristic_order_scaled,indicator_order_scaled,data_quality_score_scaled,is_preferred,high_precision,indicator_encoded,survey_cohort,dataset_source_encoded,char_order_quintile,indicator_importance,sample_size_tier,by_var_0,by_var_14000,by_var_14001,by_var_14002,by_var_Other,type_D,type_I,type_S,type_T,type_U,char_Five year periods,char_Source of vaccination information,char_Total,char_Total 15-49
15037,62.1,4.144720769547168,Medium,0.010278993968265182,0.6602681824085275,-0.32273957024573297,-0.49952203166326004,-1.5980361824647868,0,1,274,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607611,60.6,4.120661870539474,Medium,3.797547786264003e-4,0.6602681824085275,-0.32273957024573297,-0.49952203166326004,0.6249303506845532,1,1,274,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15031,52.7,3.983413001514819,Medium,-0.05609246294621671,0.6602681824085275,-0.32273957024573297,-0.49952187920158786,-1.5980361824647868,0,1,285,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607606,51.2,3.955082494888593,Medium,-0.06774929152207865,0.6602681824085275,-0.32273957024573297,-0.49952187920158786,0.6249303506845532,1,1,285,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15032,70.6,4.2710950739666,Medium,0.06227677933958031,0.6602681824085275,-0.32273957024573297,-0.4995217267399157,-1.5980361824647868,0,1,287,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607607,68.6,4.242764567340374,Medium,0.05061995076371838,0.6602681824085275,-0.32273957024573297,-0.4995217267399157,0.6249303506845532,1,1,287,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15033,83.1,4.432006566978902,Medium,0.12848518551732396,0.6602681824085275,-0.32273957024573297,-0.4995215742782435,-1.5980361824647868,0,1,278,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607608,81,4.406719247264253,Medium,0.1180805021508851,0.6602681824085275,-0.32273957024573297,-0.4995215742782435,0.6249303506845532,1,1,278,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15034,56.6,4.053522567701846,Medium,-0.02724528398988721,0.6602681824085275,-0.32273957024573297,-0.49952142181657133,-1.5980361824647868,0,1,280,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607609,57.1,4.062165663857866,Medium,-0.023689008361474948,0.6602681824085275,-0.32273957024573297,-0.49952142181657133,0.6249303506845532,1,1,280,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15035,90.2,4.513054897080286,Medium,0.16183321218046595,0.6602681824085275,-0.32273957024573297,-0.4995212693548991,-1.5980361824647868,0,1,286,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607610,89.1,4.500920164614292,Medium,0.15684027301293632,0.6602681824085275,-0.32273957024573297,-0.4995212693548991,0.6249303506845532,1,1,286,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15036,9.8,2.379546134130174,Low,-0.716017164550403,0.6602681824085275,-0.32273957024573297,-0.4995211168932269,-1.5980361824647868,0,1,283,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607614,10.9,2.4765384001174837,Low,-0.6761088694847636,0.6602681824085275,-0.32273957024573297,-0.4995211168932269,0.6249303506845532,1,1,283,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15039,0.5,0.4054651081081644,Low,-1.5282696391989934,0.6602681824085275,-0.32273957024573297,-0.4995205070465382,-1.5980361824647868,0,1,282,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607615,0.4,0.33647223662121295,Low,-1.5566573445969398,0.6602681824085275,-0.32273957024573297,-0.4995205070465382,0.6249303506845532,1,1,282,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15040,87.6,4.484131857611035,Medium,0.1499325809127624,0.6602681824085275,-0.32273957024573297,-0.49952020212319387,-1.5980361824647868,0,1,279,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607617,86.3,4.469350462845557,Medium,0.14385064996932423,0.6602681824085275,-0.32273957024573297,-0.49952020212319387,0.6249303506845532,1,1,279,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15041,0.6,0.4700036292457355,Low,-1.5017147142424492,0.6602681824085275,-0.32273957024573297,-0.49952004966152164,-1.5980361824647868,0,1,284,12,1,1,Low,Small,0,1,0,0,0,0,1,0,0,0,0,0,1,0
607618,0.5,0.4054651081081644,Low,-1.5282696391989934,0.6602681824085275,-0.32273957024573297,-0.49952004966152164,0.6249303506845532,1,1,284,16,1,1,Low,Small,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15038,0.9,0.6418538861723948,Low,-1.4310054603578932,0.6602681824085275,-0.32273957024573297,-0.49951989719984946,-1.5980361824647868,0,1,277,12,1,1,Low,Small,0,1,0,0,0,0,0,1,0,0,0,0,1,0
607612,1.7,0.9932517730102833,Low,-1.2864198028251217,0.6602681824085275,-0.32273957024573297,-0.49951989719984946,0.6249303506845532,1,1,277,16,1,1,Low,Small,0,0,1,0,0,0,0,1,0,0,0,0,1,0
16468,508,6.2324480165505225,High,0.869292175502617,-1.5125086116847326,-0.32273957024573297,-0.4995197447381773,-1.5980361824647868,0,1,128,12,1,1,Low,Small,0,1,0,0,0,1,0,0,0,0,0,0,1,0
604853,627,6.4425401664681985,High,0.9557363824148071,-1.5125086116847326,-0.32273957024573297,-0.4995197447381773,0.6249303506845532,1,1,128,16,1,1,Low,Small,0,0,1,0,0,1,0,0,0,0,0,0,1,0
280214,523,6.261491684321042,High,0.8812424403136891,-1.5125086116847326,-0.32273957024573297,-0.4995195922765051,-1.5980361824647868,0,1,129,44,1,1,Low,Medium,0,1,0,0,0,0,0,0,0,1,0,0,1,0
27506,634,6.453624998892692,High,0.9602973312559004,-1.5125086116847326,-0.32273957024573297,-0.4995195922765051,0.6249303506845532,1,1,129,44,1,1,Low,Medium,0,0,1,0,0,0,0,0,0,1,0,0,1,0
157227,17.1,2.89591193827178,Low,-0.5035540504688574,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,-1.5980361824647868,0,1,4,41,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
653702,17.1,2.89591193827178,Low,-0.5035540504688574,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,-1.5980361824647868,0,1,4,58,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
157234,16.1,2.8390784635086144,Low,-0.5269386683800499,0.6602681824085275,-0.32273957024573297,-0.6631591444176369,0.6249303506845532,1,1,4,30,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
157230,76.8,4.354141431184346,Medium,0.09644691130047243,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,-1.5980361824647868,0,1,6,41,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
653707,76.6,4.351567427189173,Medium,0.09538781540355891,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,-1.5980361824647868,0,1,6,58,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
157238,77,4.356708826689592,Medium,0.09750328807784288,0.6602681824085275,-0.32273957024573297,-0.6631589919559647,0.6249303506845532,1,1,6,30,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
157228,0.6,0.4700036292457355,Low,-1.5017147142424492,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,-1.5980361824647868,0,1,7,41,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
653704,0.6,0.4700036292457355,Low,-1.5017147142424492,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,-1.5980361824647868,0,1,7,58,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
157235,0.5,0.4054651081081644,Low,-1.5282696391989934,0.6602681824085275,-0.32273957024573297,-0.6631580771859317,0.6249303506845532,1,1,7,30,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
157229,5.5,1.8718021769015913,Low,-0.9249327461857975,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,-1.5980361824647868,0,1,123,41,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
653705,5.7,1.9021075263969205,Low,-0.9124633516684534,0.6602681824085275,-0.32273957024573297,-0.6631577722625873,-1.5980361824647868,0,1,123,58,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
